346F3,348F3,bcutv8,GATSp5,GATSp7,GATSp6,GATSp8,Tac,bcutm8,ATSp8,SIC3,Shet,S9,MATSe6,GATSe7,bcutp10,MATSv7,MATSv6,GATSe8,GATSe6,Rpc,MATSm7,Smax11,DS,Smin16,S17,GATSm6,QHss,VSAEstate8,GATSm7,IC3,Smin8,label
-4.76,2.131,1.044,1.472,0,0.233,0,2.904,1.03,0,0.892,28.558,1.639,0.638,0,1.552,0,0.944,0,0.7,0.22,0,0,10.994,0,0,0.663,0.155,28.5,0,3.916,0.464,0
-4.76,2.131,1.069,1.63,2.444,2.037,0,2.917,1.041,0,0.87,27.627,0.163,-0.778,2.444,1.641,-1,-0.778,0,2.037,0.228,-1,1.844,11.552,0.826,0.826,2.037,0.16,35.167,2.444,3.88,0.163,1
-4.76,2.131,2.015,1.327,2.148,1.44,1.419,3.695,2.088,0.843,0.957,37.285,0.205,-0.287,2.356,1.815,-0.664,-0.248,1.57,1.516,0.173,-0.707,1.846,11.917,0.766,0.766,1.511,0.162,46.07,2.344,4.651,0.205,0
-4.76,2.131,2.414,1.015,0.773,0.949,0.89,5.164,2.331,2.23,0.793,51.302,0.006,-0.171,0.792,1.795,0.071,-0.146,0.994,0.963,0.158,0.03,0,12.415,0,0,0.963,0.169,59.083,0.79,4.221,-0.037,0
-4.76,2.131,1.202,1.355,2.28,1.758,5.451,2.764,1.72,0.754,0.885,29.984,0.326,-0.807,2.012,1.663,-0.641,-0.647,0.104,2.038,0.232,-0.474,1.769,11.41,0.632,1.506,1.059,0.138,31.281,3.127,4.002,0.326,0
-4.76,2.131,1.088,1.309,2.111,1.213,0,2.938,1.499,0,0.923,37.07,0.016,0.391,1.992,1.671,-0.993,0.267,0,1.131,0.218,-0.728,1.646,14.087,-0.417,-0.086,1.027,0.138,27.868,1.527,4.176,0.016,1
-4.76,2.131,1.995,1.3,2.076,1.439,3.358,3.331,1.972,1.036,0.927,28.141,0.346,-0.06,2.182,1.797,-0.694,0.012,3.898,1.625,0.192,-0.678,2.014,11.664,0.952,2.098,1.612,0.17,40.667,2.177,4.548,0.346,0
-4.76,2.131,1.431,1.197,0.674,1.204,1.444,3.586,1.726,1.452,0.895,37.021,2.519,-0.388,0.779,1.698,0.27,-0.353,1.548,1.228,0.178,0.176,0,11.392,0,0,1.228,0.159,39.167,0.77,4.349,0.453,0
-4.76,2.131,2.27,1.412,1.311,1.66,1.585,3.109,2.331,1.915,0.725,24.78,0.375,-0.394,1.295,1.747,-0.283,-0.4,1.375,1.717,0.206,-0.27,2.032,11.563,0.961,2.197,1.714,0.143,40.083,1.297,3.721,0.375,0
-4.76,2.131,1.618,0.861,2.171,0.966,5.419,3.273,2.108,1.248,0.969,31.491,0.325,-0.203,2.131,1.789,-0.575,0.153,2.32,1.66,0.196,-0.208,1.945,11.666,0.922,1.881,0.689,0.168,37.032,1.989,4.607,0.325,0
-4.76,2.131,1.375,1.53,1.209,1.591,0,4.35,1.729,0.806,0.951,53.728,-0.031,-0.704,1.458,1.702,-0.228,-0.715,0,1.571,0.147,-0.383,1.394,11.676,-0.463,-0.535,1.574,0.221,54.5,1.441,4.47,-0.031,0
-4.76,2.131,1.872,1.278,0.708,1.068,1.114,4.614,1.936,1.854,0.919,42.267,2.343,-0.27,0.786,1.723,0.169,-0.241,1.287,1.085,0.176,0.098,0,11.909,0,0,1.085,0.178,47.167,0.78,4.676,0.176,0
-4.76,2.131,1.543,1.462,0.96,1.758,0,3.898,1.838,0,0.885,40.687,0.092,-0.618,1.214,1.681,1.078,-0.569,0,1.863,0.164,1.055,1.705,12.11,0.314,0.87,1.857,0.189,45.5,1.197,4.208,0.092,1
-4.76,2.131,1.105,1.184,1.768,0.835,0,3.14,1.609,0,0.885,49.936,-0.353,0.574,1.579,1.671,-0.923,0.514,0,0.765,0.204,-0.59,1.209,14.276,-0.776,-1.842,0.728,0.134,22.529,1.118,4.002,-0.353,1
-4.76,2.131,1.628,1.372,2.171,0.966,5.419,3.204,2.073,1.248,0.969,31.434,0.325,-0.203,2.131,1.793,-0.575,0.153,2.32,1.66,0.2,-0.208,1.954,11.666,0.922,1.885,0.689,0.169,37.069,1.989,4.607,0.325,0
-4.76,2.131,2.241,1.044,0.95,0.906,1.516,4.163,2.462,2.451,0.874,47.28,1.708,-0.318,0.608,1.826,0.251,-0.244,0.842,1.222,0.154,-0.063,1.737,15.41,0.227,1.219,0.762,0.166,36.404,1.425,4.653,0.266,0
-4.76,2.131,1.279,0.979,2.874,1.3,7.962,2.717,1.722,0.946,0.885,27.668,0.364,-0.804,1.88,1.66,-0.662,-0.272,0.755,2.132,0.236,-0.462,1.865,11.406,0.929,1.901,0.959,0.138,31.318,3.225,4.002,0.364,0
-4.76,2.131,1.97,1.236,2.076,1.439,3.358,3.33,1.932,1.036,0.941,28.1,0.346,-0.06,2.182,1.794,-0.694,0.012,3.898,1.625,0.192,-0.678,2.037,11.664,0.952,2.103,1.612,0.171,40.667,2.177,4.615,0.346,0
-4.76,2.131,2.359,1.069,0.765,0.836,0.92,5.338,2.598,2.563,0.882,56.235,0.806,-0.191,0.947,1.833,-0.12,-0.165,0.731,1.042,0.12,-0.092,1.676,15.782,0.087,1.027,0.674,0.231,43.656,0.756,4.755,0.184,0
-4.76,2.131,2.308,1.074,0.984,1.095,1.104,3.781,2.484,2.227,0.809,37.081,0.245,-0.197,0.975,1.873,-0.16,-0.198,1.149,1.113,0.169,-0.155,1.854,13.202,0.573,1.996,1.112,0.157,53.167,0.976,4.15,0.245,0
-4.76,2.131,1.851,1.184,0.839,1.188,1.486,5.068,1.852,1.803,0.866,51.102,2.658,-0.353,0.878,1.765,0.045,-0.344,1.473,1.179,0.127,0.001,0,11.402,0,0,1.18,0.267,50,0.874,4.444,0.209,0
-4.76,-3.005,1.473,1.424,1.398,2.475,1.875,2.898,1.756,0.647,0.951,26.494,0.388,-0.396,2.748,1.739,-0.734,-0.803,3.89,1.999,0.221,-0.079,2.024,11.593,1.019,1.019,0.99,0.143,36.714,0.209,4.47,0.388,1
-4.76,-3.005,1.291,0.694,4.299,1.743,0,2.708,1.724,0,0.942,26.625,0.381,-0.614,3.315,1.659,-2.189,-0.385,0,1.905,0.237,-0.29,1.955,11.421,0.96,2.05,1.621,0.138,31.682,3.069,4.263,0.381,2
-4.76,-3.005,1.29,0.979,4.706,1.885,0,2.717,1.724,0,0.942,27.712,0.356,-0.636,2.031,1.663,-2.17,-0.504,0,1.866,0.236,-0.174,1.885,11.424,0.921,1.854,1.619,0.138,31.35,2.943,4.263,0.356,2
-4.76,-3.005,1.97,1.236,2.076,1.439,3.358,3.33,1.932,1.036,0.941,28.1,0.346,-0.06,2.182,1.794,-0.694,0.012,3.898,1.625,0.192,-0.678,2.037,11.664,0.952,2.103,1.612,0.171,40.667,2.177,4.615,0.346,2
-4.76,-3.005,1.291,1.469,1.581,1.437,0.103,3.623,1.724,0.625,0.912,61.139,-0.126,-0.526,1.743,1.687,-0.494,-0.601,0.216,1.331,0.23,-0.578,1.415,16.744,-0.803,-0.549,1.214,0.138,21.134,1.744,4.287,-0.126,2
